"죄종별(1)",죄종별(2),2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"죄종별(1)",죄종별(2),계,1시간이내,2시간이내,5시간이내,12시간이내,24시간이내,2일이내,5일이내,10일이내,1개월이내,3개월이내,3개월초과,계,1시간이내,2시간이내,5시간이내,12시간이내,24시간이내,2일이내,5일이내,10일이내,1개월이내,3개월이내,3개월초과,계,1시간이내,2시간이내,5시간이내,12시간이내,24시간이내,2일이내,5일이내,10일이내,1개월이내,3개월이내,3개월초과,계,1시간이내,2시간이내,5시간이내,12시간이내,24시간이내,2일이내,5일이내,10일이내,1개월이내,3개월이내,3개월초과,계,1시간이내,2시간이내,5시간이내,12시간이내,24시간이내,2일이내,5일이내,10일이내,1개월이내,3개월이내,3개월초과
"계",소계,1580751,305849,43682,57086,65168,60666,71683,152675,149549,235469,186070,252854,1611906,276491,38503,52250,64866,62345,70870,154587,160944,262778,214633,253639,1587866,244307,31440,42829,58449,58248,66027,147970,164534,275543,226765,271754,1429826,214147,25045,33654,51006,54224,56068,124467,143663,261908,218945,246699,1482433,207786,23147,33139,58529,57695,54223,115676,136684,276761,250042,268751
"강력범죄",소계,26787,4165,1084,1764,1536,1231,1378,2706,2372,3984,2839,3728,26476,3794,992,1577,1566,1285,1454,2735,2563,4343,2993,3174,24332,2862,705,1165,1356,1163,1314,2616,2462,4332,3002,3355,22476,2325,474,888,1262,1250,1124,2306,2315,4137,3030,3365,24954,2548,517,948,1339,1392,1302,2468,2482,4833,3713,3412
"강력범죄",살인기수,309,69,12,25,34,43,25,23,11,9,22,36,297,60,16,27,48,30,14,19,8,16,27,32,308,66,9,19,47,46,27,22,4,18,26,24,270,60,8,14,48,36,14,21,6,18,17,28,275,50,11,21,49,40,25,15,7,10,9,38
"강력범죄",살인미수등,488,138,21,65,80,64,31,12,12,16,15,34,482,138,15,69,80,58,38,11,8,17,16,32,416,91,15,57,74,57,28,24,12,13,15,30,388,89,16,39,74,65,30,19,8,14,14,20,427,78,9,47,92,72,37,19,15,13,16,29
"강력범죄",강도,821,170,26,74,118,63,57,72,49,84,52,56,798,154,22,68,94,73,64,72,58,92,55,46,663,101,27,50,67,69,56,58,56,72,44,63,495,78,15,33,69,47,47,54,34,49,40,29,516,88,15,47,70,63,52,37,33,39,35,37
"강력범죄",강간,5293,417,104,241,302,250,287,529,441,820,707,1195,5310,416,98,222,333,257,333,534,490,853,700,1074,5313,398,76,187,290,249,308,540,479,849,765,1172,5263,366,79,153,311,320,281,489,483,784,818,1179,5467,341,73,156,305,302,307,523,432,891,913,1224
"강력범죄",유사강간,776,75,12,35,46,41,46,79,70,109,98,165,782,58,11,41,42,26,46,97,70,123,120,148,823,49,19,29,58,41,44,83,78,144,122,156,814,50,9,35,45,46,49,83,69,146,124,158,947,82,19,32,50,55,59,81,75,166,146,182
"강력범죄",강제추행,17053,2901,826,1149,807,619,827,1829,1678,2751,1756,1910,17120,2620,768,992,809,695,841,1881,1812,3065,1922,1715,15344,1888,511,726,666,589,758,1747,1734,3045,1882,1798,13962,1481,314,536,565,615,631,1528,1616,2960,1861,1855,15864,1652,340,536,634,737,724,1672,1817,3543,2415,1794
"강력범죄",기타 강간·강제추행등,356,29,8,17,25,22,26,36,31,42,25,95,325,31,8,14,28,24,30,22,25,35,36,72,237,17,3,4,12,13,20,29,12,29,32,66,238,24,4,5,24,35,12,19,21,19,26,49,225,28,-,8,9,27,15,22,19,26,24,47
"강력범죄",방화,1691,366,75,158,124,129,79,126,80,153,164,237,1362,317,54,144,132,122,88,99,92,142,117,55,1228,252,45,93,142,99,73,113,87,162,116,46,1046,177,29,73,126,86,60,93,78,147,130,47,1233,229,50,101,130,96,83,99,84,145,155,61
"절도범죄",소계,176809,17014,4515,8419,10128,12747,12672,23496,24776,33698,20649,8695,186957,16985,4330,7899,9640,12155,12251,23509,27084,38640,25420,9044,179517,14477,3353,6264,7996,10637,11180,22419,26958,39918,26904,9411,166409,12325,2804,5050,6570,9133,9358,19032,24460,40080,28297,9300,182270,12936,2797,5057,6414,9037,8890,17888,25174,46527,36580,10970
"폭력범죄",소계,287611,55878,15341,19365,15052,11876,15830,38307,34182,46130,25537,10113,287913,49893,12921,17609,14548,11993,15616,38676,36242,51073,28460,10882,265768,41543,8957,13088,12351,10862,14174,35150,35922,52315,29993,11413,232661,33075,6310,9620,10114,9979,11142,27850,30847,50563,31356,11805,245286,32411,5901,9526,10724,10006,10804,26760,30918,56317,37650,14269
"폭력범죄",상해,39766,7201,1538,2203,1933,1630,2209,5457,4995,7183,3599,1818,36858,6263,1236,1920,1846,1564,1990,4995,4876,7021,3487,1660,32904,5164,894,1445,1504,1366,1740,4408,4457,6769,3516,1641,28453,4165,738,1055,1309,1240,1435,3435,3799,6240,3521,1516,26806,3852,595,961,1237,1144,1291,2983,3420,6078,3690,1555
"폭력범죄",폭행,159267,36089,10688,12534,8030,5229,8470,22424,18910,23324,10479,3090,157197,31192,8791,11061,7772,5290,8362,22934,20322,26402,11587,3484,139361,25174,5819,7894,6302,4736,7503,20195,19560,26386,12286,3506,115942,18710,3837,5485,4707,4157,5529,15231,16446,25122,12951,3767,125217,18476,3563,5375,5090,4287,5400,15139,17120,29301,16422,5044
"폭력범죄",체포・감금,1207,176,36,91,105,54,84,109,109,175,137,131,1243,148,44,85,94,67,90,127,133,192,133,130,1209,131,32,65,82,71,66,135,109,230,154,134,1165,129,29,62,89,86,46,118,110,196,177,123,1145,122,24,40,82,67,65,117,115,207,159,147
"폭력범죄",협박,17200,3035,741,1193,994,915,969,1859,1806,2807,1713,1168,21022,3516,822,1433,1210,1108,1218,2419,2257,3615,2088,1336,21214,3203,670,1267,1157,1099,1097,2355,2540,3879,2439,1508,21058,3232,556,1066,1239,1135,1108,2252,2316,4043,2670,1441,21567,3063,569,1197,1393,1335,1078,2188,2282,4115,2916,1431
"폭력범죄",약취・유인,187,29,4,15,11,11,13,14,24,25,17,24,250,35,3,6,20,16,13,22,23,43,42,27,210,27,3,7,7,14,10,16,20,42,39,25,240,22,1,7,17,15,19,17,29,37,35,41,276,26,7,15,11,19,17,23,34,47,52,25
"폭력범죄",폭력행위등,9204,1527,316,514,419,272,377,913,996,1799,1378,693,8350,1280,225,403,310,272,334,797,826,1751,1404,748,7398,996,177,229,281,215,303,651,833,1625,1316,772,6484,838,98,173,211,186,211,510,700,1504,1296,757,6745,810,121,173,223,210,224,466,638,1558,1464,858
"폭력범죄",공갈,4096,245,48,86,119,152,133,254,272,668,919,1200,4847,307,49,72,128,162,146,289,331,824,1202,1337,5281,304,37,79,172,210,160,289,395,917,1134,1584,5131,326,36,53,140,194,148,259,304,931,1188,1552,6904,502,63,72,210,290,223,290,550,1276,1459,1969
"폭력범죄",손괴,56684,7576,1970,2729,3441,3613,3575,7277,7070,10149,7295,1989,58146,7152,1751,2629,3168,3514,3463,7093,7474,11225,8517,2160,58191,6544,1325,2102,2846,3151,3295,7101,8008,12467,9109,2243,54188,5653,1015,1719,2402,2966,2646,6028,7143,12490,9518,2608,56626,5560,959,1693,2478,2654,2506,5554,6759,13735,11488,3240
"지능범죄",소계,344698,18320,3319,5620,10198,10825,10224,19206,22381,49128,65560,129917,381533,21281,3289,5729,12629,12757,11078,21003,25547,57725,79676,130819,424642,22929,2875,5421,12541,13470,11345,22088,29724,68983,91302,143964,361107,22909,2222,3933,10937,12553,9799,17773,23334,57683,76112,123852,405105,32403,2559,4220,13952,14259,10478,17953,23981,65014,89171,131115
"지능범죄",직무유기,581,35,1,1,16,16,7,20,24,57,95,309,590,31,-,3,21,17,15,17,40,74,87,285,730,63,2,1,38,26,15,26,42,92,114,311,957,105,-,5,92,79,27,37,72,124,118,298,1550,217,1,-,193,102,55,110,132,200,156,384
"지능범죄",직권남용,603,20,-,5,21,8,10,27,46,89,104,273,674,32,1,4,22,23,13,26,46,102,107,298,724,50,1,1,25,14,23,33,37,117,109,314,875,96,1,3,69,62,31,51,70,136,111,245,1792,279,3,4,162,133,70,146,158,269,188,380
"지능범죄",증수뢰,347,6,-,-,5,1,1,2,4,15,32,281,260,7,-,-,4,1,2,5,2,10,27,202,289,5,1,-,4,2,1,3,7,15,30,221,402,15,-,1,8,9,1,10,5,15,23,315,320,22,-,-,13,7,2,8,7,28,18,215
"지능범죄",통화,1194,98,10,15,64,48,43,146,169,233,235,133,980,73,8,16,41,70,38,95,145,200,209,85,626,40,1,8,29,27,27,57,77,144,148,68,376,23,3,9,20,13,10,25,39,74,95,65,452,49,3,4,25,22,10,35,50,96,102,56
"지능범죄",문서・인장,12290,567,53,64,331,201,143,340,482,1509,1309,7291,11343,627,43,52,379,204,156,418,519,1184,1354,6407,11533,626,38,42,391,263,177,375,571,1290,1487,6273,10472,734,18,25,416,312,174,334,510,1132,1290,5527,11259,1167,32,43,541,341,202,395,613,1315,1333,5277
"지능범죄",유가증권인지,197,7,1,3,2,2,3,6,10,20,18,125,140,8,-,2,2,6,1,5,7,11,14,84,84,6,-,1,-,1,1,2,9,8,7,49,63,6,-,-,4,1,2,1,6,13,7,23,58,2,-,1,5,2,3,3,6,9,3,24
"지능범죄",사기,270029,13039,2231,4019,7419,7588,7206,13828,15620,38033,55989,105057,304472,15477,2159,3998,9487,9314,8157,15484,18175,45099,68744,108378,347675,17544,2016,3955,9751,10307,8563,16876,22326,54947,79629,121761,294075,17460,1520,2791,8294,9618,7517,13418,17087,44730,64870,106770,325848,25332,1721,3022,10556,10918,7882,13267,16957,48811,73797,113585
"지능범죄",횡령,55113,4429,1023,1513,2240,2926,2805,4805,5973,8979,7262,13158,58508,4870,1076,1653,2559,3069,2676,4905,6521,10822,8778,11579,58889,4435,814,1413,2189,2767,2519,4672,6555,12154,9448,11923,50421,4241,679,1096,1892,2374,2006,3850,5441,11215,9322,8305,60220,4976,799,1144,2233,2648,2203,3924,5919,13947,13279,9148
"지능범죄",배임,4344,119,-,-,100,35,6,32,53,193,516,3290,4566,156,2,1,114,53,20,48,92,223,356,3501,4092,160,2,-,114,63,19,44,100,216,330,3044,3466,229,1,3,142,85,31,47,104,244,276,2304,3606,359,-,2,224,86,51,65,139,339,295,2046
"풍속범죄",소계,20162,2750,689,1153,894,811,817,1571,1427,2646,2668,4736,21153,2619,585,1003,903,850,822,1604,1560,2634,2831,5742,22632,2443,447,820,871,889,912,1955,1721,2775,3152,6647,23360,2248,351,634,848,955,957,1805,1830,3525,3792,6415,27113,2514,309,633,1089,1465,1357,2664,2419,4486,4694,5483
"풍속범죄",성풍속범죄,14158,2073,552,754,579,557,574,1096,1100,2098,2182,2593,13145,1845,448,665,567,559,575,1116,1171,1900,1872,2427,14497,1605,343,558,590,606,670,1491,1289,2150,2271,2924,16969,1788,287,481,610,756,814,1510,1528,2986,2896,3313,22650,2100,261,519,885,1281,1057,2151,2186,4067,4165,3978
"풍속범죄",도박범죄,6004,677,137,399,315,254,243,475,327,548,486,2143,8008,774,137,338,336,291,247,488,389,734,959,3315,8135,838,104,262,281,283,242,464,432,625,881,3723,6391,460,64,153,238,199,143,295,302,539,896,3102,4463,414,48,114,204,184,300,513,233,419,529,1505
"특별경제범죄",소계,53994,6023,1706,2771,2634,1964,1934,4173,4231,7260,7522,13776,51400,5948,1385,2443,2840,2227,1903,4259,4266,7147,7321,11661,47826,5122,1094,1973,2612,2034,1795,3712,3987,7108,7136,11253,40708,4476,697,1290,2014,1720,1378,2666,3144,6229,6555,10539,48615,5953,691,1266,2767,2135,1464,2850,3508,7855,8125,12001
"마약범죄",소계,6513,582,84,113,235,371,238,392,455,1032,1343,1668,8038,667,90,138,327,443,341,439,541,1244,1615,2193,9186,836,81,130,363,521,375,542,592,1396,1665,2685,8088,633,77,110,298,426,381,484,475,1216,1683,2305,10331,730,78,168,352,562,394,531,598,1489,1716,3713
"보건범죄",소계,11033,877,93,164,600,366,303,845,1320,2302,1885,2278,12570,1098,121,239,686,461,427,916,1359,2735,2104,2424,14595,1535,106,159,813,661,566,1294,1806,2912,2282,2461,16936,2026,112,155,965,678,523,1287,2014,4262,2738,2176,17749,2240,135,188,1030,688,472,1131,1829,4125,3089,2822
"환경범죄",소계,4791,244,11,17,139,71,66,250,513,928,707,1845,3877,310,9,17,210,106,114,248,543,1036,623,661,3568,341,10,14,223,100,80,245,484,881,510,680,3656,475,2,8,293,119,93,258,456,805,508,639,3477,474,3,9,226,108,96,182,387,837,499,656
"교통범죄",소계,408371,175252,12851,11655,14119,12923,21147,46167,39540,49945,19657,5115,377354,149038,11061,9650,10900,11554,19268,44412,41898,55275,20757,3541,348725,128700,10736,8718,9400,10106,16944,41276,40414,55988,22563,3880,308634,107822,9362,7555,8097,8889,14049,34715,35627,53367,24212,4939,241029,84884,7315,6120,7704,6602,10628,26769,24998,39283,20929,5797
"노동범죄",소계,1883,67,3,3,28,13,11,38,49,95,161,1415,975,43,3,3,17,23,19,25,31,91,126,594,356,31,-,1,17,8,5,18,19,48,62,147,406,30,1,1,25,13,8,12,22,56,69,169,714,36,-,1,16,15,8,11,19,44,122,442
"안보범죄",소계,69,11,1,1,3,2,1,2,4,5,9,30,169,10,-,4,9,3,3,6,4,5,16,109,216,10,1,1,5,1,-,7,6,21,13,151,206,10,2,2,6,3,3,5,2,24,29,120,219,15,-,1,7,4,3,8,8,17,53,103
"선거범죄",소계,1897,81,12,14,65,73,67,128,199,457,437,364,611,18,1,2,7,13,5,17,58,128,159,203,829,64,12,14,41,55,42,64,82,152,176,127,274,22,6,1,17,16,13,30,36,57,38,38,2969,276,16,45,202,183,140,289,268,613,613,324
"병역범죄",소계,14271,765,3,3,700,324,205,382,796,5185,4094,1814,12712,853,3,5,790,386,227,428,858,4389,3297,1476,3845,328,-,2,252,117,80,151,266,910,910,829,1823,194,-,-,105,64,48,82,141,325,385,479,4638,605,-,5,348,208,124,220,379,1130,1047,572
"기타범죄",소계,221862,23820,3970,6024,8837,7069,6790,15012,17304,32674,33002,67360,240168,23934,3713,5932,9794,8089,7342,16310,18390,36313,39235,71116,241829,23086,3063,5059,9608,7624,7215,16433,20091,37804,37095,74751,243082,25577,2625,4407,9455,8426,7192,16162,18960,39579,40141,70558,267964,29761,2826,4952,12359,11031,8063,15952,19716,44191,42041,77072
